CountryorArea,Element,Year,Unit,Value,ValueFootnotes
China,Processing,2019.0,1000 tonnes,5100.0,A
France,Processing,2019.0,1000 tonnes,1035.0,Im
Poland,Processing,2019.0,1000 tonnes,796.0,Im
Chile,Processing,2019.0,1000 tonnes,475.0,Im
Republic of Korea,Processing,2019.0,1000 tonnes,396.0,Im
Russian Federation,Processing,2019.0,1000 tonnes,289.0,Im
South Africa,Processing,2019.0,1000 tonnes,244.0,Im
Italy,Processing,2019.0,1000 tonnes,163.0,Im
Serbia,Processing,2019.0,1000 tonnes,163.0,Im
Hungary,Processing,2019.0,1000 tonnes,158.0,Im
Uzbekistan,Processing,2019.0,1000 tonnes,150.0,Im
Ireland,Processing,2019.0,1000 tonnes,123.0,Im
Morocco,Processing,2019.0,1000 tonnes,110.0,Im
Greece,Processing,2019.0,1000 tonnes,101.0,Im
Saudi Arabia,Processing,2019.0,1000 tonnes,101.0,Im
Israel,Processing,2019.0,1000 tonnes,97.0,Im
Spain,Processing,2019.0,1000 tonnes,91.0,Im
Germany,Processing,2019.0,1000 tonnes,89.0,Im
Tajikistan,Processing,2019.0,1000 tonnes,87.0,Im
Belgium,Processing,2019.0,1000 tonnes,84.0,Im
Belarus,Processing,2019.0,1000 tonnes,75.0,Im
Bosnia and Herzegovina,Processing,2019.0,1000 tonnes,72.0,Im
Netherlands,Processing,2019.0,1000 tonnes,63.0,Im
Switzerland,Processing,2019.0,1000 tonnes,63.0,Im
Australia and New Zealand,Processing,2019.0,1000 tonnes,62.0,A
Denmark,Processing,2019.0,1000 tonnes,62.0,Im
New Zealand,Processing,2019.0,1000 tonnes,62.0,Im
Japan,Processing,2019.0,1000 tonnes,53.0,Im
Bulgaria,Processing,2019.0,1000 tonnes,46.0,Im
Sweden,Processing,2019.0,1000 tonnes,43.0,Im
Lebanon,Processing,2019.0,1000 tonnes,38.0,Im
Kyrgyzstan,Processing,2019.0,1000 tonnes,35.0,Im
Other non-specified areas,Processing,2019.0,1000 tonnes,32.0,Im
Ukraine,Processing,2019.0,1000 tonnes,28.0,Im
Armenia,Processing,2019.0,1000 tonnes,26.0,Im
Argentina,Processing,2019.0,1000 tonnes,25.0,Im
Lithuania,Processing,2019.0,1000 tonnes,25.0,Im
Thailand,Processing,2019.0,1000 tonnes,23.0,Im
Slovakia,Processing,2019.0,1000 tonnes,22.0,Im
Iran (Islamic Republic of),Processing,2019.0,1000 tonnes,20.0,Im
Austria,Processing,2019.0,1000 tonnes,18.0,Im
Philippines,Processing,2019.0,1000 tonnes,17.0,Im
Azerbaijan,Processing,2019.0,1000 tonnes,16.0,Im
Costa Rica,Processing,2019.0,1000 tonnes,16.0,Im
India,Processing,2019.0,1000 tonnes,15.0,Im
Latvia,Processing,2019.0,1000 tonnes,13.0,Im
Republic of Moldova,Processing,2019.0,1000 tonnes,13.0,Im
Croatia,Processing,2019.0,1000 tonnes,11.0,Im
Finland,Processing,2019.0,1000 tonnes,11.0,Im
Viet Nam,Processing,2019.0,1000 tonnes,10.0,Im
United States of America,Processing,2019.0,1000 tonnes,9.0,Im
Brazil,Processing,2019.0,1000 tonnes,8.0,Im
North Macedonia,Processing,2019.0,1000 tonnes,8.0,Im
Pakistan,Processing,2019.0,1000 tonnes,7.0,Im
Slovenia,Processing,2019.0,1000 tonnes,5.0,Im
"China, Macao SAR",Processing,2019.0,1000 tonnes,4.0,Im
Tunisia,Processing,2019.0,1000 tonnes,4.0,Im
Indonesia,Processing,2019.0,1000 tonnes,3.0,Im
Malaysia,Processing,2019.0,1000 tonnes,3.0,Im
Montenegro,Processing,2019.0,1000 tonnes,3.0,Im
Turkey,Processing,2019.0,1000 tonnes,3.0,Im
Eswatini,Processing,2019.0,1000 tonnes,2.0,Im
Georgia,Processing,2019.0,1000 tonnes,2.0,Im
Honduras,Processing,2019.0,1000 tonnes,2.0,Im
Kazakhstan,Processing,2019.0,1000 tonnes,2.0,Im
Paraguay,Processing,2019.0,1000 tonnes,2.0,Im
Romania,Processing,2019.0,1000 tonnes,2.0,Im
Uruguay,Processing,2019.0,1000 tonnes,2.0,Im
Czechia,Processing,2019.0,1000 tonnes,1.0,Im
Guatemala,Processing,2019.0,1000 tonnes,1.0,Im
Norway,Processing,2019.0,1000 tonnes,1.0,Im
Portugal,Processing,2019.0,1000 tonnes,1.0,Im
Angola,Processing,2019.0,1000 tonnes,0.0,Im
Bangladesh,Processing,2019.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2019.0,1000 tonnes,0.0,Im
Canada,Processing,2019.0,1000 tonnes,0.0,Im
Colombia,Processing,2019.0,1000 tonnes,0.0,Im
Côte d'Ivoire,Processing,2019.0,1000 tonnes,0.0,Im
Cyprus,Processing,2019.0,1000 tonnes,0.0,Im
Ecuador,Processing,2019.0,1000 tonnes,0.0,Im
French Polynesia,Processing,2019.0,1000 tonnes,0.0,Im
Grenada,Processing,2019.0,1000 tonnes,0.0,Im
Mexico,Processing,2019.0,1000 tonnes,0.0,Im
