CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Indonesia,Processing,2019.0,1000 tonnes,925.0,Im
Netherlands,Processing,2019.0,1000 tonnes,556.0,Im
Germany,Processing,2019.0,1000 tonnes,438.0,Im
United States of America,Processing,2019.0,1000 tonnes,405.0,Im
Côte d'Ivoire,Processing,2019.0,1000 tonnes,287.0,Im
Brazil,Processing,2019.0,1000 tonnes,260.0,Im
Malaysia,Processing,2019.0,1000 tonnes,222.0,Im
France,Processing,2019.0,1000 tonnes,196.0,Im
Belgium,Processing,2019.0,1000 tonnes,165.0,Im
Italy,Processing,2019.0,1000 tonnes,136.0,Im
Turkey,Processing,2019.0,1000 tonnes,133.0,Im
United Kingdom of Great Britain and Northern Ireland,Processing,2019.0,1000 tonnes,117.0,Im
Spain,Processing,2019.0,1000 tonnes,107.0,Im
Canada,Processing,2019.0,1000 tonnes,99.0,Im
Mexico,Processing,2019.0,1000 tonnes,89.0,Im
Colombia,Processing,2019.0,1000 tonnes,87.0,Im
Japan,Processing,2019.0,1000 tonnes,73.0,Im
Peru,Processing,2019.0,1000 tonnes,68.0,Im
Poland,Processing,2019.0,1000 tonnes,61.0,Im
Ghana,Processing,2019.0,1000 tonnes,60.0,Im
India,Processing,2019.0,1000 tonnes,54.0,Im
China,Processing,2019.0,1000 tonnes,53.0,A
Switzerland,Processing,2019.0,1000 tonnes,41.0,Im
Nigeria,Processing,2019.0,1000 tonnes,34.0,Im
Austria,Processing,2019.0,1000 tonnes,29.0,Im
Venezuela (Bolivarian Republic of),Processing,2019.0,1000 tonnes,27.0,Im
Australia and New Zealand,Processing,2019.0,1000 tonnes,26.0,A
Australia,Processing,2019.0,1000 tonnes,22.0,Im
Dominican Republic,Processing,2019.0,1000 tonnes,19.0,Im
Haiti,Processing,2019.0,1000 tonnes,12.0,Im
Guatemala,Processing,2019.0,1000 tonnes,10.0,Im
Republic of Korea,Processing,2019.0,1000 tonnes,10.0,Im
Argentina,Processing,2019.0,1000 tonnes,9.0,Im
Algeria,Processing,2019.0,1000 tonnes,8.0,Im
Tunisia,Processing,2019.0,1000 tonnes,8.0,Im
Ukraine,Processing,2019.0,1000 tonnes,8.0,Im
Bulgaria,Processing,2019.0,1000 tonnes,7.0,Im
