CountryorArea,Element,Year,Unit,Value,ValueFootnotes
China,Processing,2019.0,1000 tonnes,29.0,A
Other non-specified areas,Processing,2019.0,1000 tonnes,29.0,Im
Indonesia,Processing,2019.0,1000 tonnes,25.0,Im
Côte d'Ivoire,Processing,2019.0,1000 tonnes,16.0,Im
Netherlands,Processing,2019.0,1000 tonnes,14.0,Im
Ireland,Processing,2019.0,1000 tonnes,5.0,Im
Lebanon,Processing,2019.0,1000 tonnes,5.0,Im
Republic of Korea,Processing,2019.0,1000 tonnes,5.0,Im
South Africa,Processing,2019.0,1000 tonnes,3.0,Im
Australia,Processing,2019.0,1000 tonnes,2.0,Im
Australia and New Zealand,Processing,2019.0,1000 tonnes,2.0,A
India,Processing,2019.0,1000 tonnes,2.0,Im
Italy,Processing,2019.0,1000 tonnes,2.0,Im
Rwanda,Processing,2019.0,1000 tonnes,2.0,Im
Slovenia,Processing,2019.0,1000 tonnes,2.0,Im
United Kingdom of Great Britain and Northern Ireland,Processing,2019.0,1000 tonnes,2.0,Im
Belgium,Processing,2019.0,1000 tonnes,1.0,Im
Bulgaria,Processing,2019.0,1000 tonnes,1.0,Im
Czechia,Processing,2019.0,1000 tonnes,1.0,Im
Iran (Islamic Republic of),Processing,2019.0,1000 tonnes,1.0,Im
Nigeria,Processing,2019.0,1000 tonnes,1.0,Im
Slovakia,Processing,2019.0,1000 tonnes,1.0,Im
Spain,Processing,2019.0,1000 tonnes,1.0,Im
Thailand,Processing,2019.0,1000 tonnes,1.0,Im
Togo,Processing,2019.0,1000 tonnes,1.0,Im
Austria,Processing,2019.0,1000 tonnes,0.0,Im
Burundi,Processing,2019.0,1000 tonnes,0.0,Im
Cameroon,Processing,2019.0,1000 tonnes,0.0,Im
Cyprus,Processing,2019.0,1000 tonnes,0.0,Im
Denmark,Processing,2019.0,1000 tonnes,0.0,Im
Ghana,Processing,2019.0,1000 tonnes,0.0,Im
Hungary,Processing,2019.0,1000 tonnes,0.0,Im
Israel,Processing,2019.0,1000 tonnes,0.0,Im
Japan,Processing,2019.0,1000 tonnes,0.0,Im
Mexico,Processing,2019.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2019.0,1000 tonnes,0.0,Im
Zimbabwe,Processing,2019.0,1000 tonnes,0.0,Im
Indonesia,Processing,2018.0,1000 tonnes,38.0,Im
China,Processing,2018.0,1000 tonnes,27.0,A
Other non-specified areas,Processing,2018.0,1000 tonnes,27.0,Im
Côte d'Ivoire,Processing,2018.0,1000 tonnes,14.0,Im
Netherlands,Processing,2018.0,1000 tonnes,14.0,Im
Ireland,Processing,2018.0,1000 tonnes,6.0,Im
Lebanon,Processing,2018.0,1000 tonnes,6.0,Im
Republic of Korea,Processing,2018.0,1000 tonnes,5.0,Im
Rwanda,Processing,2018.0,1000 tonnes,5.0,Im
South Africa,Processing,2018.0,1000 tonnes,3.0,Im
Australia,Processing,2018.0,1000 tonnes,2.0,Im
Australia and New Zealand,Processing,2018.0,1000 tonnes,2.0,A
Czechia,Processing,2018.0,1000 tonnes,2.0,Im
India,Processing,2018.0,1000 tonnes,2.0,Im
Italy,Processing,2018.0,1000 tonnes,2.0,Im
Slovenia,Processing,2018.0,1000 tonnes,2.0,Im
United Kingdom of Great Britain and Northern Ireland,Processing,2018.0,1000 tonnes,2.0,Im
Belgium,Processing,2018.0,1000 tonnes,1.0,Im
Bulgaria,Processing,2018.0,1000 tonnes,1.0,Im
Iran (Islamic Republic of),Processing,2018.0,1000 tonnes,1.0,Im
Nigeria,Processing,2018.0,1000 tonnes,1.0,Im
Slovakia,Processing,2018.0,1000 tonnes,1.0,Im
Spain,Processing,2018.0,1000 tonnes,1.0,Im
Thailand,Processing,2018.0,1000 tonnes,1.0,Im
Togo,Processing,2018.0,1000 tonnes,1.0,Im
Austria,Processing,2018.0,1000 tonnes,0.0,Im
Burundi,Processing,2018.0,1000 tonnes,0.0,Im
Cameroon,Processing,2018.0,1000 tonnes,0.0,Im
