CountryorArea,Element,Year,Unit,Value,ValueFootnotes
France,Processing,2013.0,1000 tonnes,0.0,A
Hungary,Processing,2013.0,1000 tonnes,0.0,A
Romania,Processing,2013.0,1000 tonnes,0.0,A
Sweden,Processing,2013.0,1000 tonnes,0.0,A
France,Processing,2012.0,1000 tonnes,0.0,A
Hungary,Processing,2012.0,1000 tonnes,0.0,A
Romania,Processing,2012.0,1000 tonnes,0.0,A
Sweden,Processing,2012.0,1000 tonnes,0.0,A
France,Processing,2011.0,1000 tonnes,0.0,A
Hungary,Processing,2011.0,1000 tonnes,0.0,A
Romania,Processing,2011.0,1000 tonnes,0.0,A
Sweden,Processing,2011.0,1000 tonnes,0.0,A
France,Processing,2010.0,1000 tonnes,0.0,ABr
Hungary,Processing,2010.0,1000 tonnes,0.0,ABr
Romania,Processing,2010.0,1000 tonnes,0.0,ABr
Sweden,Processing,2010.0,1000 tonnes,0.0,ABr
Brazil,Processing,2009.0,1000 tonnes,0.0,A
Canada,Processing,2009.0,1000 tonnes,0.0,A
Denmark,Processing,2009.0,1000 tonnes,0.0,A
France,Processing,2009.0,1000 tonnes,0.0,A
Hungary,Processing,2009.0,1000 tonnes,0.0,A
Japan,Processing,2009.0,1000 tonnes,0.0,A
Romania,Processing,2009.0,1000 tonnes,0.0,A
Sweden,Processing,2009.0,1000 tonnes,0.0,A
Thailand,Processing,2009.0,1000 tonnes,0.0,A
Zimbabwe,Processing,2009.0,1000 tonnes,0.0,A
Brazil,Processing,2008.0,1000 tonnes,0.0,A
Canada,Processing,2008.0,1000 tonnes,0.0,A
Denmark,Processing,2008.0,1000 tonnes,0.0,A
France,Processing,2008.0,1000 tonnes,0.0,A
Hungary,Processing,2008.0,1000 tonnes,0.0,A
Japan,Processing,2008.0,1000 tonnes,0.0,A
Romania,Processing,2008.0,1000 tonnes,0.0,A
Sweden,Processing,2008.0,1000 tonnes,0.0,A
Thailand,Processing,2008.0,1000 tonnes,0.0,A
Zimbabwe,Processing,2008.0,1000 tonnes,0.0,A
Brazil,Processing,2007.0,1000 tonnes,0.0,A
Canada,Processing,2007.0,1000 tonnes,0.0,A
Denmark,Processing,2007.0,1000 tonnes,0.0,A
France,Processing,2007.0,1000 tonnes,0.0,A
Hungary,Processing,2007.0,1000 tonnes,0.0,A
Japan,Processing,2007.0,1000 tonnes,0.0,A
Romania,Processing,2007.0,1000 tonnes,0.0,A
Sweden,Processing,2007.0,1000 tonnes,0.0,A
Thailand,Processing,2007.0,1000 tonnes,0.0,A
Zimbabwe,Processing,2007.0,1000 tonnes,0.0,A
Brazil,Processing,2006.0,1000 tonnes,0.0,A
Canada,Processing,2006.0,1000 tonnes,0.0,A
Denmark,Processing,2006.0,1000 tonnes,0.0,A
France,Processing,2006.0,1000 tonnes,0.0,A
Hungary,Processing,2006.0,1000 tonnes,0.0,A
Japan,Processing,2006.0,1000 tonnes,0.0,A
Romania,Processing,2006.0,1000 tonnes,0.0,A
Sweden,Processing,2006.0,1000 tonnes,0.0,A
Thailand,Processing,2006.0,1000 tonnes,0.0,A
Zimbabwe,Processing,2006.0,1000 tonnes,0.0,A
Brazil,Processing,2005.0,1000 tonnes,0.0,A
Canada,Processing,2005.0,1000 tonnes,0.0,A
Denmark,Processing,2005.0,1000 tonnes,0.0,A
France,Processing,2005.0,1000 tonnes,0.0,A
Hungary,Processing,2005.0,1000 tonnes,0.0,A
Japan,Processing,2005.0,1000 tonnes,0.0,A
Romania,Processing,2005.0,1000 tonnes,0.0,A
Sweden,Processing,2005.0,1000 tonnes,0.0,A
Thailand,Processing,2005.0,1000 tonnes,0.0,A
Zimbabwe,Processing,2005.0,1000 tonnes,0.0,A
Brazil,Processing,2004.0,1000 tonnes,0.0,A
Canada,Processing,2004.0,1000 tonnes,0.0,A
Denmark,Processing,2004.0,1000 tonnes,0.0,A
France,Processing,2004.0,1000 tonnes,0.0,A
Hungary,Processing,2004.0,1000 tonnes,0.0,A
Japan,Processing,2004.0,1000 tonnes,0.0,A
Romania,Processing,2004.0,1000 tonnes,0.0,A
Sweden,Processing,2004.0,1000 tonnes,0.0,A
Thailand,Processing,2004.0,1000 tonnes,0.0,A
Zimbabwe,Processing,2004.0,1000 tonnes,0.0,A
Brazil,Processing,2003.0,1000 tonnes,0.0,A
Canada,Processing,2003.0,1000 tonnes,0.0,A
Denmark,Processing,2003.0,1000 tonnes,0.0,A
France,Processing,2003.0,1000 tonnes,0.0,A
Hungary,Processing,2003.0,1000 tonnes,0.0,A
Japan,Processing,2003.0,1000 tonnes,0.0,A
Romania,Processing,2003.0,1000 tonnes,0.0,A
Sweden,Processing,2003.0,1000 tonnes,0.0,A
Thailand,Processing,2003.0,1000 tonnes,0.0,A
Zimbabwe,Processing,2003.0,1000 tonnes,0.0,A
Brazil,Processing,2002.0,1000 tonnes,0.0,A
Canada,Processing,2002.0,1000 tonnes,0.0,A
Denmark,Processing,2002.0,1000 tonnes,0.0,A
France,Processing,2002.0,1000 tonnes,0.0,A
Hungary,Processing,2002.0,1000 tonnes,0.0,A
Japan,Processing,2002.0,1000 tonnes,0.0,A
Romania,Processing,2002.0,1000 tonnes,0.0,A
Sweden,Processing,2002.0,1000 tonnes,0.0,A
Thailand,Processing,2002.0,1000 tonnes,0.0,A
Zimbabwe,Processing,2002.0,1000 tonnes,0.0,A
Brazil,Processing,2001.0,1000 tonnes,0.0,A
Canada,Processing,2001.0,1000 tonnes,0.0,A
Denmark,Processing,2001.0,1000 tonnes,0.0,A
France,Processing,2001.0,1000 tonnes,0.0,A
Hungary,Processing,2001.0,1000 tonnes,0.0,A
Japan,Processing,2001.0,1000 tonnes,0.0,A
Romania,Processing,2001.0,1000 tonnes,0.0,A
Sweden,Processing,2001.0,1000 tonnes,0.0,A
Thailand,Processing,2001.0,1000 tonnes,0.0,A
Zimbabwe,Processing,2001.0,1000 tonnes,0.0,A
Brazil,Processing,2000.0,1000 tonnes,0.0,A
Canada,Processing,2000.0,1000 tonnes,0.0,A
Denmark,Processing,2000.0,1000 tonnes,0.0,A
France,Processing,2000.0,1000 tonnes,0.0,A
Hungary,Processing,2000.0,1000 tonnes,0.0,A
Japan,Processing,2000.0,1000 tonnes,0.0,A
Romania,Processing,2000.0,1000 tonnes,0.0,A
Sweden,Processing,2000.0,1000 tonnes,0.0,A
Thailand,Processing,2000.0,1000 tonnes,0.0,A
Zimbabwe,Processing,2000.0,1000 tonnes,0.0,A
Brazil,Processing,1999.0,1000 tonnes,0.0,A
Canada,Processing,1999.0,1000 tonnes,0.0,A
Denmark,Processing,1999.0,1000 tonnes,0.0,A
France,Processing,1999.0,1000 tonnes,0.0,A
Hungary,Processing,1999.0,1000 tonnes,0.0,A
Japan,Processing,1999.0,1000 tonnes,0.0,A
Romania,Processing,1999.0,1000 tonnes,0.0,A
Sweden,Processing,1999.0,1000 tonnes,0.0,A
Thailand,Processing,1999.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1999.0,1000 tonnes,0.0,A
Brazil,Processing,1998.0,1000 tonnes,0.0,A
Canada,Processing,1998.0,1000 tonnes,0.0,A
Denmark,Processing,1998.0,1000 tonnes,0.0,A
France,Processing,1998.0,1000 tonnes,0.0,A
Hungary,Processing,1998.0,1000 tonnes,0.0,A
Japan,Processing,1998.0,1000 tonnes,0.0,A
Romania,Processing,1998.0,1000 tonnes,0.0,A
Sweden,Processing,1998.0,1000 tonnes,0.0,A
Thailand,Processing,1998.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1998.0,1000 tonnes,0.0,A
Brazil,Processing,1997.0,1000 tonnes,0.0,A
Canada,Processing,1997.0,1000 tonnes,0.0,A
Denmark,Processing,1997.0,1000 tonnes,0.0,A
France,Processing,1997.0,1000 tonnes,0.0,A
Hungary,Processing,1997.0,1000 tonnes,0.0,A
Japan,Processing,1997.0,1000 tonnes,0.0,A
Romania,Processing,1997.0,1000 tonnes,0.0,A
Sweden,Processing,1997.0,1000 tonnes,0.0,A
