CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Brazil,Processing,2019.0,1000 tonnes,336.0,Im
Chile,Processing,2019.0,1000 tonnes,17.0,Im
Russian Federation,Processing,2019.0,1000 tonnes,8.0,Im
Poland,Processing,2019.0,1000 tonnes,4.0,Im
Czechia,Processing,2019.0,1000 tonnes,1.0,Im
Denmark,Processing,2019.0,1000 tonnes,1.0,Im
Lithuania,Processing,2019.0,1000 tonnes,1.0,Im
Belarus,Processing,2019.0,1000 tonnes,0.0,Im
Kyrgyzstan,Processing,2019.0,1000 tonnes,0.0,Im
Latvia,Processing,2019.0,1000 tonnes,0.0,Im
Brazil,Processing,2018.0,1000 tonnes,327.0,Im
Chile,Processing,2018.0,1000 tonnes,17.0,Im
Russian Federation,Processing,2018.0,1000 tonnes,8.0,Im
Poland,Processing,2018.0,1000 tonnes,4.0,Im
Denmark,Processing,2018.0,1000 tonnes,2.0,Im
Czechia,Processing,2018.0,1000 tonnes,1.0,Im
Latvia,Processing,2018.0,1000 tonnes,1.0,Im
Lithuania,Processing,2018.0,1000 tonnes,1.0,Im
Belarus,Processing,2018.0,1000 tonnes,0.0,Im
Kyrgyzstan,Processing,2018.0,1000 tonnes,0.0,Im
Brazil,Processing,2017.0,1000 tonnes,317.0,Im
Ireland,Processing,2017.0,1000 tonnes,18.0,Im
Chile,Processing,2017.0,1000 tonnes,17.0,Im
Poland,Processing,2017.0,1000 tonnes,16.0,Im
Russian Federation,Processing,2017.0,1000 tonnes,8.0,Im
Denmark,Processing,2017.0,1000 tonnes,2.0,Im
Czechia,Processing,2017.0,1000 tonnes,1.0,Im
Lithuania,Processing,2017.0,1000 tonnes,1.0,Im
Belarus,Processing,2017.0,1000 tonnes,0.0,Im
Kyrgyzstan,Processing,2017.0,1000 tonnes,0.0,Im
Latvia,Processing,2017.0,1000 tonnes,0.0,Im
Brazil,Processing,2016.0,1000 tonnes,307.0,Im
Chile,Processing,2016.0,1000 tonnes,17.0,Im
Poland,Processing,2016.0,1000 tonnes,12.0,Im
Russian Federation,Processing,2016.0,1000 tonnes,8.0,Im
Denmark,Processing,2016.0,1000 tonnes,3.0,Im
Czechia,Processing,2016.0,1000 tonnes,1.0,Im
Latvia,Processing,2016.0,1000 tonnes,1.0,Im
Lithuania,Processing,2016.0,1000 tonnes,1.0,Im
Belarus,Processing,2016.0,1000 tonnes,0.0,Im
Kyrgyzstan,Processing,2016.0,1000 tonnes,0.0,Im
Brazil,Processing,2015.0,1000 tonnes,314.0,Im
Chile,Processing,2015.0,1000 tonnes,19.0,Im
Russian Federation,Processing,2015.0,1000 tonnes,9.0,Im
Poland,Processing,2015.0,1000 tonnes,8.0,Im
Czechia,Processing,2015.0,1000 tonnes,2.0,Im
Denmark,Processing,2015.0,1000 tonnes,2.0,Im
Latvia,Processing,2015.0,1000 tonnes,1.0,Im
Lithuania,Processing,2015.0,1000 tonnes,1.0,Im
Belarus,Processing,2015.0,1000 tonnes,0.0,Im
Kyrgyzstan,Processing,2015.0,1000 tonnes,0.0,Im
Brazil,Processing,2014.0,1000 tonnes,327.0,Im
Chile,Processing,2014.0,1000 tonnes,20.0,Im
Poland,Processing,2014.0,1000 tonnes,10.0,Im
Russian Federation,Processing,2014.0,1000 tonnes,8.0,Im
Czechia,Processing,2014.0,1000 tonnes,1.0,Im
Denmark,Processing,2014.0,1000 tonnes,1.0,Im
Lithuania,Processing,2014.0,1000 tonnes,1.0,Im
Belarus,Processing,2014.0,1000 tonnes,0.0,Im
Kyrgyzstan,Processing,2014.0,1000 tonnes,0.0,Im
Latvia,Processing,2014.0,1000 tonnes,0.0,Im
Brazil,Processing,2013.0,1000 tonnes,324.0,Im
Chile,Processing,2013.0,1000 tonnes,17.0,Im
Russian Federation,Processing,2013.0,1000 tonnes,10.0,Im
Lithuania,Processing,2013.0,1000 tonnes,3.0,Im
Poland,Processing,2013.0,1000 tonnes,3.0,Im
Denmark,Processing,2013.0,1000 tonnes,1.0,Im
Latvia,Processing,2013.0,1000 tonnes,1.0,Im
Afghanistan,Processing,2013.0,1000 tonnes,0.0,Im
Angola,Processing,2013.0,1000 tonnes,0.0,Im
Belarus,Processing,2013.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2013.0,1000 tonnes,0.0,Im
Burkina Faso,Processing,2013.0,1000 tonnes,0.0,Im
Cambodia,Processing,2013.0,1000 tonnes,0.0,Im
Cameroon,Processing,2013.0,1000 tonnes,0.0,Im
Central African Republic,Processing,2013.0,1000 tonnes,0.0,Im
Chad,Processing,2013.0,1000 tonnes,0.0,Im
Colombia,Processing,2013.0,1000 tonnes,0.0,Im
Congo,Processing,2013.0,1000 tonnes,0.0,Im
Côte d'Ivoire,Processing,2013.0,1000 tonnes,0.0,Im
Czechia,Processing,2013.0,1000 tonnes,0.0,Im
Democratic People's Republic of Korea,Processing,2013.0,1000 tonnes,0.0,Im
Ecuador,Processing,2013.0,1000 tonnes,0.0,Im
Ethiopia,Processing,2013.0,1000 tonnes,0.0,Im
Guatemala,Processing,2013.0,1000 tonnes,0.0,Im
Guinea,Processing,2013.0,1000 tonnes,0.0,Im
Haiti,Processing,2013.0,1000 tonnes,0.0,Im
Indonesia,Processing,2013.0,1000 tonnes,0.0,Im
Iraq,Processing,2013.0,1000 tonnes,0.0,Im
Ireland,Processing,2013.0,1000 tonnes,0.0,Im
Kazakhstan,Processing,2013.0,1000 tonnes,0.0,Im
Kyrgyzstan,Processing,2013.0,1000 tonnes,0.0,Im
Madagascar,Processing,2013.0,1000 tonnes,0.0,Im
Malawi,Processing,2013.0,1000 tonnes,0.0,Im
Mexico,Processing,2013.0,1000 tonnes,0.0,Im
Mozambique,Processing,2013.0,1000 tonnes,0.0,Im
Myanmar,Processing,2013.0,1000 tonnes,0.0,Im
Nepal,Processing,2013.0,1000 tonnes,0.0,Im
