CountryorArea,Element,Year,Unit,Value,ValueFootnotes
China,Processing,2019.0,1000 tonnes,5131.0,A
Denmark,Processing,2019.0,1000 tonnes,1240.0,Im
Netherlands,Processing,2019.0,1000 tonnes,820.0,Im
France,Processing,2019.0,1000 tonnes,458.0,Im
Ukraine,Processing,2019.0,1000 tonnes,192.0,Im
Russian Federation,Processing,2019.0,1000 tonnes,137.0,Im
Australia and New Zealand,Processing,2019.0,1000 tonnes,129.0,A
New Zealand,Processing,2019.0,1000 tonnes,129.0,Im
Ireland,Processing,2019.0,1000 tonnes,113.0,Im
Colombia,Processing,2019.0,1000 tonnes,82.0,Im
Republic of Korea,Processing,2019.0,1000 tonnes,79.0,Im
Japan,Processing,2019.0,1000 tonnes,74.0,Im
Germany,Processing,2019.0,1000 tonnes,67.0,Im
Belarus,Processing,2019.0,1000 tonnes,58.0,Im
Austria,Processing,2019.0,1000 tonnes,57.0,Im
Armenia,Processing,2019.0,1000 tonnes,45.0,Im
Latvia,Processing,2019.0,1000 tonnes,45.0,Im
Poland,Processing,2019.0,1000 tonnes,34.0,Im
Mongolia,Processing,2019.0,1000 tonnes,24.0,Im
Malaysia,Processing,2019.0,1000 tonnes,23.0,Im
Nicaragua,Processing,2019.0,1000 tonnes,14.0,Im
Sweden,Processing,2019.0,1000 tonnes,14.0,Im
Azerbaijan,Processing,2019.0,1000 tonnes,12.0,Im
Norway,Processing,2019.0,1000 tonnes,9.0,Im
Kazakhstan,Processing,2019.0,1000 tonnes,8.0,Im
Spain,Processing,2019.0,1000 tonnes,8.0,Im
Switzerland,Processing,2019.0,1000 tonnes,7.0,Im
Other non-specified areas,Processing,2019.0,1000 tonnes,6.0,Im
Guatemala,Processing,2019.0,1000 tonnes,6.0,Im
Tajikistan,Processing,2019.0,1000 tonnes,6.0,Im
Israel,Processing,2019.0,1000 tonnes,5.0,Im
Greece,Processing,2019.0,1000 tonnes,4.0,Im
Lithuania,Processing,2019.0,1000 tonnes,4.0,Im
Finland,Processing,2019.0,1000 tonnes,3.0,Im
Kyrgyzstan,Processing,2019.0,1000 tonnes,2.0,Im
Slovakia,Processing,2019.0,1000 tonnes,2.0,Im
Slovenia,Processing,2019.0,1000 tonnes,1.0,Im
Argentina,Processing,2019.0,1000 tonnes,0.0,Im
Australia,Processing,2019.0,1000 tonnes,0.0,Im
Belgium,Processing,2019.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2019.0,1000 tonnes,0.0,Im
Bosnia and Herzegovina,Processing,2019.0,1000 tonnes,0.0,Im
Botswana,Processing,2019.0,1000 tonnes,0.0,Im
Brazil,Processing,2019.0,1000 tonnes,0.0,Im
Bulgaria,Processing,2019.0,1000 tonnes,0.0,Im
Cambodia,Processing,2019.0,1000 tonnes,0.0,Im
Canada,Processing,2019.0,1000 tonnes,0.0,Im
"China, Hong Kong SAR",Processing,2019.0,1000 tonnes,0.0,Im
Croatia,Processing,2019.0,1000 tonnes,0.0,Im
Czechia,Processing,2019.0,1000 tonnes,0.0,Im
Ecuador,Processing,2019.0,1000 tonnes,0.0,Im
Egypt,Processing,2019.0,1000 tonnes,0.0,Im
Estonia,Processing,2019.0,1000 tonnes,0.0,Im
Ethiopia,Processing,2019.0,1000 tonnes,0.0,Im
Georgia,Processing,2019.0,1000 tonnes,0.0,Im
Hungary,Processing,2019.0,1000 tonnes,0.0,Im
Iceland,Processing,2019.0,1000 tonnes,0.0,Im
India,Processing,2019.0,1000 tonnes,0.0,Im
Iran (Islamic Republic of),Processing,2019.0,1000 tonnes,0.0,Im
Jordan,Processing,2019.0,1000 tonnes,0.0,Im
Kenya,Processing,2019.0,1000 tonnes,0.0,Im
Lebanon,Processing,2019.0,1000 tonnes,0.0,Im
Madagascar,Processing,2019.0,1000 tonnes,0.0,Im
Malawi,Processing,2019.0,1000 tonnes,0.0,Im
Mauritius,Processing,2019.0,1000 tonnes,0.0,Im
Nepal,Processing,2019.0,1000 tonnes,0.0,Im
Nigeria,Processing,2019.0,1000 tonnes,0.0,Im
Peru,Processing,2019.0,1000 tonnes,0.0,Im
Portugal,Processing,2019.0,1000 tonnes,0.0,Im
Rwanda,Processing,2019.0,1000 tonnes,0.0,Im
South Africa,Processing,2019.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2019.0,1000 tonnes,0.0,Im
Syrian Arab Republic,Processing,2019.0,1000 tonnes,0.0,Im
Thailand,Processing,2019.0,1000 tonnes,0.0,Im
Tunisia,Processing,2019.0,1000 tonnes,0.0,Im
Turkey,Processing,2019.0,1000 tonnes,0.0,Im
United Republic of Tanzania,Processing,2019.0,1000 tonnes,0.0,Im
United States of America,Processing,2019.0,1000 tonnes,0.0,Im
Yemen,Processing,2019.0,1000 tonnes,0.0,Im
Zimbabwe,Processing,2019.0,1000 tonnes,0.0,Im
China,Processing,2018.0,1000 tonnes,5046.0,A
Netherlands,Processing,2018.0,1000 tonnes,998.0,Im
Denmark,Processing,2018.0,1000 tonnes,915.0,Im
France,Processing,2018.0,1000 tonnes,436.0,Im
Ukraine,Processing,2018.0,1000 tonnes,223.0,Im
Russian Federation,Processing,2018.0,1000 tonnes,129.0,Im
Australia and New Zealand,Processing,2018.0,1000 tonnes,125.0,A
New Zealand,Processing,2018.0,1000 tonnes,125.0,Im
Colombia,Processing,2018.0,1000 tonnes,104.0,Im
Ireland,Processing,2018.0,1000 tonnes,101.0,Im
Republic of Korea,Processing,2018.0,1000 tonnes,83.0,Im
Japan,Processing,2018.0,1000 tonnes,71.0,Im
Austria,Processing,2018.0,1000 tonnes,58.0,Im
Belarus,Processing,2018.0,1000 tonnes,56.0,Im
Armenia,Processing,2018.0,1000 tonnes,51.0,Im
Poland,Processing,2018.0,1000 tonnes,49.0,Im
Germany,Processing,2018.0,1000 tonnes,43.0,Im
Latvia,Processing,2018.0,1000 tonnes,21.0,Im
Malaysia,Processing,2018.0,1000 tonnes,20.0,Im
Nicaragua,Processing,2018.0,1000 tonnes,12.0,Im
Azerbaijan,Processing,2018.0,1000 tonnes,10.0,Im
Norway,Processing,2018.0,1000 tonnes,9.0,Im
Estonia,Processing,2018.0,1000 tonnes,8.0,Im
Kazakhstan,Processing,2018.0,1000 tonnes,8.0,Im
Lithuania,Processing,2018.0,1000 tonnes,8.0,Im
Spain,Processing,2018.0,1000 tonnes,8.0,Im
Other non-specified areas,Processing,2018.0,1000 tonnes,7.0,Im
Switzerland,Processing,2018.0,1000 tonnes,6.0,Im
Tajikistan,Processing,2018.0,1000 tonnes,6.0,Im
Guatemala,Processing,2018.0,1000 tonnes,5.0,Im
Israel,Processing,2018.0,1000 tonnes,5.0,Im
Greece,Processing,2018.0,1000 tonnes,4.0,Im
Sweden,Processing,2018.0,1000 tonnes,4.0,Im
Slovakia,Processing,2018.0,1000 tonnes,3.0,Im
Kyrgyzstan,Processing,2018.0,1000 tonnes,2.0,Im
Czechia,Processing,2018.0,1000 tonnes,1.0,Im
Mongolia,Processing,2018.0,1000 tonnes,1.0,Im
Slovenia,Processing,2018.0,1000 tonnes,1.0,Im
Argentina,Processing,2018.0,1000 tonnes,0.0,Im
Australia,Processing,2018.0,1000 tonnes,0.0,Im
Belgium,Processing,2018.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2018.0,1000 tonnes,0.0,Im
Bosnia and Herzegovina,Processing,2018.0,1000 tonnes,0.0,Im
Botswana,Processing,2018.0,1000 tonnes,0.0,Im
Brazil,Processing,2018.0,1000 tonnes,0.0,Im
Bulgaria,Processing,2018.0,1000 tonnes,0.0,Im
Cambodia,Processing,2018.0,1000 tonnes,0.0,Im
Canada,Processing,2018.0,1000 tonnes,0.0,Im
"China, Hong Kong SAR",Processing,2018.0,1000 tonnes,0.0,Im
Croatia,Processing,2018.0,1000 tonnes,0.0,Im
Ecuador,Processing,2018.0,1000 tonnes,0.0,Im
Egypt,Processing,2018.0,1000 tonnes,0.0,Im
Ethiopia,Processing,2018.0,1000 tonnes,0.0,Im
Finland,Processing,2018.0,1000 tonnes,0.0,Im
Georgia,Processing,2018.0,1000 tonnes,0.0,Im
Hungary,Processing,2018.0,1000 tonnes,0.0,Im
Iceland,Processing,2018.0,1000 tonnes,0.0,Im
India,Processing,2018.0,1000 tonnes,0.0,Im
Iran (Islamic Republic of),Processing,2018.0,1000 tonnes,0.0,Im
Jordan,Processing,2018.0,1000 tonnes,0.0,Im
Kenya,Processing,2018.0,1000 tonnes,0.0,Im
Lebanon,Processing,2018.0,1000 tonnes,0.0,Im
Madagascar,Processing,2018.0,1000 tonnes,0.0,Im
Malawi,Processing,2018.0,1000 tonnes,0.0,Im
Mauritius,Processing,2018.0,1000 tonnes,0.0,Im
Nepal,Processing,2018.0,1000 tonnes,0.0,Im
Nigeria,Processing,2018.0,1000 tonnes,0.0,Im
Peru,Processing,2018.0,1000 tonnes,0.0,Im
Portugal,Processing,2018.0,1000 tonnes,0.0,Im
Rwanda,Processing,2018.0,1000 tonnes,0.0,Im
South Africa,Processing,2018.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2018.0,1000 tonnes,0.0,Im
Syrian Arab Republic,Processing,2018.0,1000 tonnes,0.0,Im
Thailand,Processing,2018.0,1000 tonnes,0.0,Im
Tunisia,Processing,2018.0,1000 tonnes,0.0,Im
Turkey,Processing,2018.0,1000 tonnes,0.0,Im
United Republic of Tanzania,Processing,2018.0,1000 tonnes,0.0,Im
United States of America,Processing,2018.0,1000 tonnes,0.0,Im
Yemen,Processing,2018.0,1000 tonnes,0.0,Im
Zimbabwe,Processing,2018.0,1000 tonnes,0.0,Im
China,Processing,2017.0,1000 tonnes,4952.0,A
Denmark,Processing,2017.0,1000 tonnes,1108.0,Im
Netherlands,Processing,2017.0,1000 tonnes,508.0,Im
France,Processing,2017.0,1000 tonnes,481.0,Im
Russian Federation,Processing,2017.0,1000 tonnes,221.0,Im
Ukraine,Processing,2017.0,1000 tonnes,188.0,Im
Ireland,Processing,2017.0,1000 tonnes,112.0,Im
Australia and New Zealand,Processing,2017.0,1000 tonnes,110.0,A
New Zealand,Processing,2017.0,1000 tonnes,110.0,Im
Colombia,Processing,2017.0,1000 tonnes,102.0,Im
Republic of Korea,Processing,2017.0,1000 tonnes,82.0,Im
Japan,Processing,2017.0,1000 tonnes,70.0,Im
Armenia,Processing,2017.0,1000 tonnes,63.0,Im
Belarus,Processing,2017.0,1000 tonnes,62.0,Im
Germany,Processing,2017.0,1000 tonnes,60.0,Im
Poland,Processing,2017.0,1000 tonnes,57.0,Im
Austria,Processing,2017.0,1000 tonnes,50.0,Im
Latvia,Processing,2017.0,1000 tonnes,29.0,Im
Malaysia,Processing,2017.0,1000 tonnes,20.0,Im
Nicaragua,Processing,2017.0,1000 tonnes,12.0,Im
Azerbaijan,Processing,2017.0,1000 tonnes,11.0,Im
Lithuania,Processing,2017.0,1000 tonnes,8.0,Im
Norway,Processing,2017.0,1000 tonnes,8.0,Im
Spain,Processing,2017.0,1000 tonnes,8.0,Im
Other non-specified areas,Processing,2017.0,1000 tonnes,7.0,Im
Kazakhstan,Processing,2017.0,1000 tonnes,7.0,Im
Switzerland,Processing,2017.0,1000 tonnes,6.0,Im
Guatemala,Processing,2017.0,1000 tonnes,5.0,Im
Israel,Processing,2017.0,1000 tonnes,5.0,Im
Sweden,Processing,2017.0,1000 tonnes,5.0,Im
Tajikistan,Processing,2017.0,1000 tonnes,5.0,Im
Greece,Processing,2017.0,1000 tonnes,4.0,Im
Slovakia,Processing,2017.0,1000 tonnes,3.0,Im
Kyrgyzstan,Processing,2017.0,1000 tonnes,2.0,Im
Czechia,Processing,2017.0,1000 tonnes,1.0,Im
Slovenia,Processing,2017.0,1000 tonnes,1.0,Im
Argentina,Processing,2017.0,1000 tonnes,0.0,Im
Australia,Processing,2017.0,1000 tonnes,0.0,Im
Belgium,Processing,2017.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2017.0,1000 tonnes,0.0,Im
Bosnia and Herzegovina,Processing,2017.0,1000 tonnes,0.0,Im
Botswana,Processing,2017.0,1000 tonnes,0.0,Im
Brazil,Processing,2017.0,1000 tonnes,0.0,Im
Bulgaria,Processing,2017.0,1000 tonnes,0.0,Im
Cambodia,Processing,2017.0,1000 tonnes,0.0,Im
Canada,Processing,2017.0,1000 tonnes,0.0,Im
"China, Hong Kong SAR",Processing,2017.0,1000 tonnes,0.0,Im
Croatia,Processing,2017.0,1000 tonnes,0.0,Im
Ecuador,Processing,2017.0,1000 tonnes,0.0,Im
Egypt,Processing,2017.0,1000 tonnes,0.0,Im
Estonia,Processing,2017.0,1000 tonnes,0.0,Im
Ethiopia,Processing,2017.0,1000 tonnes,0.0,Im
Finland,Processing,2017.0,1000 tonnes,0.0,Im
Georgia,Processing,2017.0,1000 tonnes,0.0,Im
Hungary,Processing,2017.0,1000 tonnes,0.0,Im
Iceland,Processing,2017.0,1000 tonnes,0.0,Im
India,Processing,2017.0,1000 tonnes,0.0,Im
Iran (Islamic Republic of),Processing,2017.0,1000 tonnes,0.0,Im
Jordan,Processing,2017.0,1000 tonnes,0.0,Im
Kenya,Processing,2017.0,1000 tonnes,0.0,Im
Lebanon,Processing,2017.0,1000 tonnes,0.0,Im
Madagascar,Processing,2017.0,1000 tonnes,0.0,Im
Malawi,Processing,2017.0,1000 tonnes,0.0,Im
Mauritius,Processing,2017.0,1000 tonnes,0.0,Im
Mongolia,Processing,2017.0,1000 tonnes,0.0,Im
Nepal,Processing,2017.0,1000 tonnes,0.0,Im
Nigeria,Processing,2017.0,1000 tonnes,0.0,Im
Peru,Processing,2017.0,1000 tonnes,0.0,Im
Portugal,Processing,2017.0,1000 tonnes,0.0,Im
Rwanda,Processing,2017.0,1000 tonnes,0.0,Im
South Africa,Processing,2017.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2017.0,1000 tonnes,0.0,Im
Syrian Arab Republic,Processing,2017.0,1000 tonnes,0.0,Im
Thailand,Processing,2017.0,1000 tonnes,0.0,Im
Tunisia,Processing,2017.0,1000 tonnes,0.0,Im
Turkey,Processing,2017.0,1000 tonnes,0.0,Im
United Republic of Tanzania,Processing,2017.0,1000 tonnes,0.0,Im
United States of America,Processing,2017.0,1000 tonnes,0.0,Im
Yemen,Processing,2017.0,1000 tonnes,0.0,Im
Zimbabwe,Processing,2017.0,1000 tonnes,0.0,Im
China,Processing,2016.0,1000 tonnes,4738.0,A
Denmark,Processing,2016.0,1000 tonnes,1003.0,Im
France,Processing,2016.0,1000 tonnes,409.0,Im
Netherlands,Processing,2016.0,1000 tonnes,365.0,Im
Ukraine,Processing,2016.0,1000 tonnes,207.0,Im
Russian Federation,Processing,2016.0,1000 tonnes,188.0,Im
Ireland,Processing,2016.0,1000 tonnes,127.0,Im
Australia and New Zealand,Processing,2016.0,1000 tonnes,109.0,A
New Zealand,Processing,2016.0,1000 tonnes,109.0,Im
Colombia,Processing,2016.0,1000 tonnes,97.0,Im
Germany,Processing,2016.0,1000 tonnes,77.0,Im
Republic of Korea,Processing,2016.0,1000 tonnes,74.0,Im
Japan,Processing,2016.0,1000 tonnes,72.0,Im
Belarus,Processing,2016.0,1000 tonnes,70.0,Im
Armenia,Processing,2016.0,1000 tonnes,65.0,Im
Austria,Processing,2016.0,1000 tonnes,61.0,Im
Poland,Processing,2016.0,1000 tonnes,48.0,Im
Latvia,Processing,2016.0,1000 tonnes,30.0,Im
Malaysia,Processing,2016.0,1000 tonnes,20.0,Im
Azerbaijan,Processing,2016.0,1000 tonnes,11.0,Im
Nicaragua,Processing,2016.0,1000 tonnes,10.0,Im
Norway,Processing,2016.0,1000 tonnes,10.0,Im
Lithuania,Processing,2016.0,1000 tonnes,9.0,Im
Other non-specified areas,Processing,2016.0,1000 tonnes,8.0,Im
Kazakhstan,Processing,2016.0,1000 tonnes,8.0,Im
Spain,Processing,2016.0,1000 tonnes,8.0,Im
Switzerland,Processing,2016.0,1000 tonnes,6.0,Im
Tajikistan,Processing,2016.0,1000 tonnes,6.0,Im
Guatemala,Processing,2016.0,1000 tonnes,5.0,Im
Israel,Processing,2016.0,1000 tonnes,5.0,Im
Greece,Processing,2016.0,1000 tonnes,4.0,Im
Sweden,Processing,2016.0,1000 tonnes,4.0,Im
Slovakia,Processing,2016.0,1000 tonnes,3.0,Im
Czechia,Processing,2016.0,1000 tonnes,2.0,Im
Kyrgyzstan,Processing,2016.0,1000 tonnes,2.0,Im
Mongolia,Processing,2016.0,1000 tonnes,1.0,Im
Slovenia,Processing,2016.0,1000 tonnes,1.0,Im
Argentina,Processing,2016.0,1000 tonnes,0.0,Im
Australia,Processing,2016.0,1000 tonnes,0.0,Im
Belgium,Processing,2016.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2016.0,1000 tonnes,0.0,Im
Bosnia and Herzegovina,Processing,2016.0,1000 tonnes,0.0,Im
Botswana,Processing,2016.0,1000 tonnes,0.0,Im
Brazil,Processing,2016.0,1000 tonnes,0.0,Im
Bulgaria,Processing,2016.0,1000 tonnes,0.0,Im
Cambodia,Processing,2016.0,1000 tonnes,0.0,Im
Canada,Processing,2016.0,1000 tonnes,0.0,Im
"China, Hong Kong SAR",Processing,2016.0,1000 tonnes,0.0,Im
Croatia,Processing,2016.0,1000 tonnes,0.0,Im
Ecuador,Processing,2016.0,1000 tonnes,0.0,Im
