CountryorArea,Element,Year,Unit,Value,ValueFootnotes
United Arab Emirates,Processing,2019.0,1000 tonnes,105.0,Im
Spain,Processing,2019.0,1000 tonnes,86.0,Im
Iran (Islamic Republic of),Processing,2019.0,1000 tonnes,71.0,Im
Egypt,Processing,2019.0,1000 tonnes,67.0,Im
South Africa,Processing,2019.0,1000 tonnes,41.0,Im
Belarus,Processing,2019.0,1000 tonnes,34.0,Im
Hungary,Processing,2019.0,1000 tonnes,34.0,Im
Costa Rica,Processing,2019.0,1000 tonnes,18.0,Im
Kyrgyzstan,Processing,2019.0,1000 tonnes,13.0,Im
Canada,Processing,2019.0,1000 tonnes,2.0,Im
Bangladesh,Processing,2019.0,1000 tonnes,0.0,Im
Mexico,Processing,2019.0,1000 tonnes,0.0,Im
Myanmar,Processing,2019.0,1000 tonnes,0.0,Im
United Arab Emirates,Processing,2018.0,1000 tonnes,113.0,Im
Spain,Processing,2018.0,1000 tonnes,76.0,Im
Egypt,Processing,2018.0,1000 tonnes,65.0,Im
Iran (Islamic Republic of),Processing,2018.0,1000 tonnes,57.0,Im
South Africa,Processing,2018.0,1000 tonnes,39.0,Im
Belarus,Processing,2018.0,1000 tonnes,37.0,Im
Hungary,Processing,2018.0,1000 tonnes,35.0,Im
Costa Rica,Processing,2018.0,1000 tonnes,17.0,Im
Kyrgyzstan,Processing,2018.0,1000 tonnes,10.0,Im
Canada,Processing,2018.0,1000 tonnes,2.0,Im
Bangladesh,Processing,2018.0,1000 tonnes,0.0,Im
Mexico,Processing,2018.0,1000 tonnes,0.0,Im
Myanmar,Processing,2018.0,1000 tonnes,0.0,Im
United Arab Emirates,Processing,2017.0,1000 tonnes,117.0,Im
Egypt,Processing,2017.0,1000 tonnes,65.0,Im
Spain,Processing,2017.0,1000 tonnes,61.0,Im
Iran (Islamic Republic of),Processing,2017.0,1000 tonnes,60.0,Im
Hungary,Processing,2017.0,1000 tonnes,51.0,Im
South Africa,Processing,2017.0,1000 tonnes,49.0,Im
Belarus,Processing,2017.0,1000 tonnes,43.0,Im
Costa Rica,Processing,2017.0,1000 tonnes,17.0,Im
Kyrgyzstan,Processing,2017.0,1000 tonnes,10.0,Im
Canada,Processing,2017.0,1000 tonnes,2.0,Im
Bangladesh,Processing,2017.0,1000 tonnes,0.0,Im
Mexico,Processing,2017.0,1000 tonnes,0.0,Im
Myanmar,Processing,2017.0,1000 tonnes,0.0,Im
United Arab Emirates,Processing,2016.0,1000 tonnes,106.0,Im
Iran (Islamic Republic of),Processing,2016.0,1000 tonnes,73.0,Im
Egypt,Processing,2016.0,1000 tonnes,72.0,Im
Spain,Processing,2016.0,1000 tonnes,66.0,Im
Belarus,Processing,2016.0,1000 tonnes,46.0,Im
South Africa,Processing,2016.0,1000 tonnes,46.0,Im
Hungary,Processing,2016.0,1000 tonnes,21.0,Im
Costa Rica,Processing,2016.0,1000 tonnes,17.0,Im
Kyrgyzstan,Processing,2016.0,1000 tonnes,10.0,Im
Canada,Processing,2016.0,1000 tonnes,2.0,Im
Bangladesh,Processing,2016.0,1000 tonnes,0.0,Im
Mexico,Processing,2016.0,1000 tonnes,0.0,Im
Myanmar,Processing,2016.0,1000 tonnes,0.0,Im
United Arab Emirates,Processing,2015.0,1000 tonnes,111.0,Im
Iran (Islamic Republic of),Processing,2015.0,1000 tonnes,78.0,Im
Egypt,Processing,2015.0,1000 tonnes,73.0,Im
Spain,Processing,2015.0,1000 tonnes,65.0,Im
South Africa,Processing,2015.0,1000 tonnes,41.0,Im
Belarus,Processing,2015.0,1000 tonnes,34.0,Im
Hungary,Processing,2015.0,1000 tonnes,23.0,Im
Costa Rica,Processing,2015.0,1000 tonnes,20.0,Im
Kyrgyzstan,Processing,2015.0,1000 tonnes,10.0,Im
Canada,Processing,2015.0,1000 tonnes,2.0,Im
Bangladesh,Processing,2015.0,1000 tonnes,0.0,Im
Mexico,Processing,2015.0,1000 tonnes,0.0,Im
Myanmar,Processing,2015.0,1000 tonnes,0.0,Im
United Arab Emirates,Processing,2014.0,1000 tonnes,100.0,Im
Iran (Islamic Republic of),Processing,2014.0,1000 tonnes,81.0,Im
Egypt,Processing,2014.0,1000 tonnes,79.0,Im
South Africa,Processing,2014.0,1000 tonnes,38.0,Im
Spain,Processing,2014.0,1000 tonnes,35.0,Im
Belarus,Processing,2014.0,1000 tonnes,27.0,Im
Hungary,Processing,2014.0,1000 tonnes,18.0,Im
Costa Rica,Processing,2014.0,1000 tonnes,15.0,Im
Kyrgyzstan,Processing,2014.0,1000 tonnes,9.0,Im
Canada,Processing,2014.0,1000 tonnes,2.0,Im
Bangladesh,Processing,2014.0,1000 tonnes,0.0,Im
Mexico,Processing,2014.0,1000 tonnes,0.0,Im
Myanmar,Processing,2014.0,1000 tonnes,0.0,Im
United Arab Emirates,Processing,2013.0,1000 tonnes,94.0,Im
Egypt,Processing,2013.0,1000 tonnes,83.0,Im
Iran (Islamic Republic of),Processing,2013.0,1000 tonnes,78.0,Im
South Africa,Processing,2013.0,1000 tonnes,40.0,Im
Belarus,Processing,2013.0,1000 tonnes,23.0,Im
Costa Rica,Processing,2013.0,1000 tonnes,18.0,Im
Hungary,Processing,2013.0,1000 tonnes,16.0,Im
Spain,Processing,2013.0,1000 tonnes,15.0,Im
Kyrgyzstan,Processing,2013.0,1000 tonnes,8.0,Im
Canada,Processing,2013.0,1000 tonnes,2.0,Im
Afghanistan,Processing,2013.0,1000 tonnes,0.0,Im
Angola,Processing,2013.0,1000 tonnes,0.0,Im
Bangladesh,Processing,2013.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2013.0,1000 tonnes,0.0,Im
Burkina Faso,Processing,2013.0,1000 tonnes,0.0,Im
Cambodia,Processing,2013.0,1000 tonnes,0.0,Im
Cameroon,Processing,2013.0,1000 tonnes,0.0,Im
Central African Republic,Processing,2013.0,1000 tonnes,0.0,Im
Chad,Processing,2013.0,1000 tonnes,0.0,Im
Colombia,Processing,2013.0,1000 tonnes,0.0,Im
Congo,Processing,2013.0,1000 tonnes,0.0,Im
Côte d'Ivoire,Processing,2013.0,1000 tonnes,0.0,Im
Democratic People's Republic of Korea,Processing,2013.0,1000 tonnes,0.0,Im
Ecuador,Processing,2013.0,1000 tonnes,0.0,Im
Ethiopia,Processing,2013.0,1000 tonnes,0.0,Im
France,Processing,2013.0,1000 tonnes,0.0,Im
Guatemala,Processing,2013.0,1000 tonnes,0.0,Im
Guinea,Processing,2013.0,1000 tonnes,0.0,Im
Haiti,Processing,2013.0,1000 tonnes,0.0,Im
India,Processing,2013.0,1000 tonnes,0.0,Im
Indonesia,Processing,2013.0,1000 tonnes,0.0,Im
Iraq,Processing,2013.0,1000 tonnes,0.0,Im
Kenya,Processing,2013.0,1000 tonnes,0.0,Im
Madagascar,Processing,2013.0,1000 tonnes,0.0,Im
Malawi,Processing,2013.0,1000 tonnes,0.0,Im
Malta,Processing,2013.0,1000 tonnes,0.0,Im
Mexico,Processing,2013.0,1000 tonnes,0.0,Im
Mozambique,Processing,2013.0,1000 tonnes,0.0,Im
Myanmar,Processing,2013.0,1000 tonnes,0.0,Im
Nepal,Processing,2013.0,1000 tonnes,0.0,Im
Niger,Processing,2013.0,1000 tonnes,0.0,Im
Nigeria,Processing,2013.0,1000 tonnes,0.0,Im
Pakistan,Processing,2013.0,1000 tonnes,0.0,Im
Peru,Processing,2013.0,1000 tonnes,0.0,Im
Philippines,Processing,2013.0,1000 tonnes,0.0,Im
Rwanda,Processing,2013.0,1000 tonnes,0.0,Im
Senegal,Processing,2013.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2013.0,1000 tonnes,0.0,Im
Syrian Arab Republic,Processing,2013.0,1000 tonnes,0.0,Im
Tajikistan,Processing,2013.0,1000 tonnes,0.0,Im
Uganda,Processing,2013.0,1000 tonnes,0.0,Im
United Republic of Tanzania,Processing,2013.0,1000 tonnes,0.0,Im
Uzbekistan,Processing,2013.0,1000 tonnes,0.0,Im
Venezuela (Bolivarian Republic of),Processing,2013.0,1000 tonnes,0.0,Im
Viet Nam,Processing,2013.0,1000 tonnes,0.0,Im
Yemen,Processing,2013.0,1000 tonnes,0.0,Im
Zambia,Processing,2013.0,1000 tonnes,0.0,Im
Zimbabwe,Processing,2013.0,1000 tonnes,0.0,Im
United Arab Emirates,Processing,2012.0,1000 tonnes,93.0,Im
Egypt,Processing,2012.0,1000 tonnes,87.0,Im
Iran (Islamic Republic of),Processing,2012.0,1000 tonnes,75.0,Im
South Africa,Processing,2012.0,1000 tonnes,42.0,Im
Belarus,Processing,2012.0,1000 tonnes,25.0,Im
Spain,Processing,2012.0,1000 tonnes,25.0,Im
Costa Rica,Processing,2012.0,1000 tonnes,16.0,Im
Hungary,Processing,2012.0,1000 tonnes,10.0,Im
Kyrgyzstan,Processing,2012.0,1000 tonnes,8.0,Im
Canada,Processing,2012.0,1000 tonnes,3.0,Im
Afghanistan,Processing,2012.0,1000 tonnes,0.0,Im
Angola,Processing,2012.0,1000 tonnes,0.0,Im
